Cluster_ID,Size,Avg_Sentiment,Top_Keywords,Sample_Queries
2,1126,0.011,"delete account, don know, need help, online account, user account","['help me to edit my personal information', 'what do I need to do to restore my user account access key?', 'can I edit the information on my account?']"
9,1005,-0.052,"company newsletter, customer service, file complaint, leave review, submit feedback","['I am trying to talk with someone', 'I want help subscribing to your company newsletter', 'can you help me speak with an agent?']"
6,727,-0.009,"buy item, change order, don know, items order, track order","['help to buy an item', 'help to check my order ETA', 'help me change several items of an order']"
0,714,-0.013,"cases ask, check refund, help check, refund status, status refund","['where is my refund?', ""I can't check the status of the refund"", 'I need assistance to check your refund policy']"
7,609,0.066,"check delivery, check delivery options, customer service, delivery options, options delivery","['I am calling to check the delivery options', 'I need assistance to check when my item is going to arrive', 'help me to check what delivery options you offer']"
5,580,0.009,"cancel order, canceling order, cancellation fee, check cancellation, company newsletter","['i do not know how i can se the withdrawal fees', 'how to check the cancellation fee?', 'where to check the goddamn withdrawal charge']"
3,526,0.024,"check invoice, invoice month, invoices month, months ago, purchases ago","['I want assistance to get the invoice from 8 months ago', 'I do not know how to find the invoices from July', 'check invoices from November']"
1,507,0.04,"allowed payment, allowed payment methods, check payment, payment methods, payment options","['how to check ur goddamn allowed payment options', 'help me to see what payment methods are allowed', 'assistance reporting a payment issue']"
4,468,0.03,"change shipping address, different shipping, new shipping, new shipping address, shipping address","['I put the old address by mistake', 'where to change my shipping address?', 'information about updating my shipping address']"
8,277,-0.006,"registration issue, registration issues, report registration, report registration issue, report registration issues","['question about my registration', 'I have errors with our account registration', 'assistance toi notify of a sign-up problem']"
